"peopleNumber","cinema","address","tele","lng","lat"
1050122.00,"北京耀莱成龙国际影城(五棵松店)","复兴路69号卓展购物中心5层","010-68188877",116.27,39.91
843569.00,"武商摩尔国际电影城(国广店)","解放大道690号武汉国际广场C座7楼","027-85585588027-85797862",107.65,23.61
835671.00,"橙天嘉禾影城(华润中心店)","宝安南路1881号华润中心万象城中座三楼","0755-82668182",112.36,25.58
831504.00,"万达国际影城(锦华店)","二环路东五段锦华路8号万达广场3层","028-66555588",104.09,30.62
830421.00,"飞扬影城(正佳IMAX店)","天河路228号正佳购物广场7楼（近体育中心）","020-85590911020-85598266",113.32,23.13
802760.00,"中影国际影城(光谷天河店)","光谷步行街C区3楼","027-87416895",113.34,23.12
776550.00,"中影国际影城(海口上邦店)","龙华路98号上邦百汇城三号楼C区3楼","0898-685823990898-68502899",110.32,20.02
776240.00,"万达国际影城(人民北路店)","人民北路与一环路交汇处金牛万达广场4楼","028-66555588",109.51,34.51
763912.00,"武汉武商众圆摩尔国际电影城(众圆店)","和平大道建设三路959号武商众圆广场C座四楼","027-86436788",114.37,30.62
744673.00,"成都太平洋影城(春熙店)","青年路1号","028-86659623",103.97,30.72
742246.00,"星汇电影城(光明广场店)","西湖路63号光明广场L7层（北京路广百南门对面）","020-83304888020-83312222",113.94,22.75
724192.00,"飞扬影城(天河城店)","天河路208号天河城广场4楼","020-85596002020-85591013",113.32,23.13
717080.00,"中影国际影城(丰台千禧街店)","靛场路千禧商业街4号楼","010-88177970",116.28,39.89
688715.00,"UME国际影城(沙坪坝店)","天陈路1号炫地购物中心6楼（融汇新时代广场）","023-65365599",106.45,29.55
686802.00,"珠海中影国际影城(华发商都店)","珠海大道8号华发商都1号楼3层A3011号商铺","0756-8698882",113.52,22.21
683678.00,"万达国际影城(欧亚卖场店)","开运街5178号欧亚卖场20号门4楼（近东海大街）","0431-85536611",125.24,43.84
681366.00,"华影国际影城(中山路店)","中山路天虹百货9楼","0791-86772828",113.52,22.51
680163.00,"万达电影城(五角场店)","国宾路58号五角场万达商业广场3楼（近淞沪路）","021-55660926",114.29,30.57
677778.00,"巨幕影城(光谷广场资本大厦店)","光谷资本大厦4楼（光谷广场转盘旁）","027-87575577",114.40,30.50
676585.00,"绵阳万达国际影城(涪城万达广场店)","花园路9号万达广场4楼","0816-8118999",104.67,31.46
676174.00,"万达国际影城(城关广场店)","天水北路68号万达广场4层","0931-8555670",103.86,36.06
667377.00,"万达国际影城(白云万达广场店)","云城东路503号白云万达广场娱乐楼3层","020-36689666",106.72,26.60
666677.00,"奥斯卡国际影城(友好路店)","友好路689号美美百货6楼","0991-6999994",128.84,47.85
661938.00,"乐天影城(乐天世界店)","北陵大街9-5号乐天百货青春馆4-7层","024-31218500",107.39,30.42
656587.00,"万达国际影城(二七万达店)","大学路航海路交叉口二七万达广场娱乐楼4楼","0371-86671189",113.60,34.74
640989.00,"万达国际电影城(江汉路店)","江汉路交通路1号万达广场C座2层（悦荟广场）","400-080-6060",114.29,30.57
630159.00,"华夏国际影城(鲁广店)","珞喻726号鲁巷广场购物中心七楼（商场三号A门、五号门电梯可直接达影城）","027-87770766",118.05,36.84
628758.00,"中影国际影城(长泰广场店)","祖冲之路1239弄2号长泰广场1号楼3层（金科路）","021-50199299",117.79,24.62
627826.00,"首都电影院(西单店)","西单北大街131号大悦城10楼（近西单苹果店）","010-66086662",116.37,39.90
626982.00,"哈尔滨万达国际影城(中央店)","中央大街232号万达商业广场A座三层","0451-88882008",126.65,45.71
625302.00,"万达影城(城中店)","东环大道256号万达广场4楼","0772-3603728",101.71,36.64
